vendor_name,model_name,myct,mmin,mmax,cach,chmin,chmax,prp,erp,'A9 / 45 '
adviser,32/60,125,256,6000,256,16,128,198,199,4.4
amdahl,470v/7,29,8000,32000,32,8,32,269,253,5.977778
amdahl,470v/7a,29,8000,32000,32,8,32,220,253,4.888889
amdahl,470v/7b,29,8000,32000,32,8,32,172,253,3.822222
amdahl,470v/7c,29,8000,16000,32,8,16,132,132,2.933333
amdahl,470v/b,26,8000,32000,64,8,32,318,290,7.066667
amdahl,580-5840,23,16000,32000,64,16,32,367,381,8.155556
amdahl,580-5850,23,16000,32000,64,16,32,489,381,10.866667
amdahl,580-5860,23,16000,64000,64,16,32,636,749,14.133333
amdahl,580-5880,23,32000,64000,128,32,64,1144,1238,25.422222
apollo,dn320,400,1000,3000,0,1,2,38,23,0.844444
apollo,dn420,400,512,3500,4,1,6,40,24,0.888889
basf,Jul-65,60,2000,8000,65,1,8,92,70,2.044444
basf,Jul-68,50,4000,16000,65,1,8,138,117,3.066667
bti,5000,350,64,64,0,1,4,10,15,0.222222
bti,8000,200,512,16000,0,4,32,35,64,0.777778
burroughs,b1955,167,524,2000,8,4,15,19,23,0.422222
burroughs,b2900,143,512,5000,0,7,32,28,29,0.622222
burroughs,b2925,143,1000,2000,0,5,16,31,22,0.688889
burroughs,b4955,110,5000,5000,142,8,64,120,124,2.666667
burroughs,b5900,143,1500,6300,0,5,32,30,35,0.666667
burroughs,b5920,143,3100,6200,0,5,20,33,39,0.733333
burroughs,b6900,143,2300,6200,0,6,64,61,40,1.355556
burroughs,b6925,110,3100,6200,0,6,64,76,45,1.688889
c.r.d,68/10-80,320,128,6000,0,1,12,23,28,0.511111
c.r.d,universe:2203t,320,512,2000,4,1,3,69,21,1.533333
c.r.d,universe:68,320,256,6000,0,1,6,33,28,0.733333
c.r.d,universe:68/05,320,256,3000,4,1,3,27,22,0.6
c.r.d,universe:68/137,320,512,5000,4,1,5,77,28,1.711111
c.r.d,universe:68/37,320,256,5000,4,1,6,27,27,0.6
cdc,cyber:170/750,25,1310,2620,131,12,24,274,102,6.088889
cdc,cyber:170/760,25,1310,2620,131,12,24,368,102,8.177778
cdc,cyber:170/815,50,2620,10480,30,12,24,32,74,0.711111
cdc,cyber:170/825,50,2620,10480,30,12,24,63,74,1.4
cdc,cyber:170/835,56,5240,20970,30,12,24,106,138,2.355556
cdc,cyber:170/845,64,5240,20970,30,12,24,208,136,4.622222
cdc,omega:480-i,50,500,2000,8,1,4,20,23,0.444444
cdc,omega:480-ii,50,1000,4000,8,1,5,29,29,0.644444
cdc,omega:480-iii,50,2000,8000,8,1,5,71,44,1.577778
cambex,1636-1,50,1000,4000,8,3,5,26,30,0.577778
cambex,1636-10,50,1000,8000,8,3,5,36,41,0.8
cambex,1641-1,50,2000,16000,8,3,5,40,74,0.888889
cambex,1641-11,50,2000,16000,8,3,6,52,74,1.155556
cambex,1651-1,50,2000,16000,8,3,6,60,74,1.333333
dec,decsys:10:1091,133,1000,12000,9,3,12,72,54,1.6
dec,decsys:20:2060,133,1000,8000,9,3,12,72,41,1.6
dec,microvax-1,810,512,512,8,1,1,18,18,0.4
dec,vax:11/730,810,1000,5000,0,1,1,20,28,0.444444
dec,vax:11/750,320,512,8000,4,1,5,40,36,0.888889
dec,vax:11/780,200,512,8000,8,1,8,62,38,1.377778
dg,eclipse:c/350,700,384,8000,0,1,1,24,34,0.533333
dg,eclipse:m/600,700,256,2000,0,1,1,24,19,0.533333
dg,eclipse:mv/10000,140,1000,16000,16,1,3,138,72,3.066667
dg,eclipse:mv/4000,200,1000,8000,0,1,2,36,36,0.8
dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30,0.577778
dg,eclipse:mv/8000,110,1000,12000,16,1,2,60,56,1.333333
dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71,42,1.577778
formation,f4000/100,800,256,8000,0,1,4,12,34,0.266667
formation,f4000/200,800,256,8000,0,1,4,14,34,0.311111
formation,f4000/200ap,800,256,8000,0,1,4,20,34,0.444444
formation,f4000/300,800,256,8000,0,1,4,16,34,0.355556
formation,f4000/300ap,800,256,8000,0,1,4,22,34,0.488889
